iter	RMSE
0	15.9729316
1	15.741508
2	15.47469841
3	15.24425133
4	15.04141738
5	14.84861232
6	14.64785372
7	14.46147743
8	14.26973982
9	14.01390975
10	13.78406388
11	13.5740377
12	13.36196728
13	13.14305225
14	12.92694005
15	12.74511916
16	12.56800501
17	12.3787236
18	12.21689181
19	12.0464014
20	11.86709712
21	11.69589764
22	11.54378648
23	11.39354027
24	11.29175696
25	11.16497884
26	11.03612849
27	10.88092796
28	10.72359384
29	10.60363669
30	10.46718369
31	10.33519432
32	10.20863899
33	10.09151035
34	9.979045244
35	9.849435389
36	9.727864998
37	9.604733048
38	9.49657431
39	9.385990491
40	9.287662592
41	9.205060833
42	9.090863946
43	8.985811991
44	8.878422155
45	8.810303131
46	8.711436609
47	8.60785092
48	8.519975966
49	8.447935023
50	8.358212446
51	8.29535046
52	8.229253558
53	8.143853291
54	8.061609899
55	7.976514569
56	7.890039549
57	7.806967106
58	7.754371362
59	7.693030745
60	7.625256333
61	7.554063513
62	7.476666394
63	7.415438557
64	7.352013204
65	7.295526175
66	7.229265907
67	7.167163195
68	7.109436968
69	7.04308808
70	6.984322702
71	6.928643769
72	6.888258739
73	6.839260457
74	6.794137437
75	6.744228874
76	6.674456341
77	6.618913072
78	6.569383436
79	6.529184686
80	6.477703035
81	6.429462519
82	6.386629024
83	6.334541328
84	6.287359245
85	6.23552004
86	6.205000783
87	6.163741127
88	6.123349835
89	6.082473347
90	6.052182341
91	6.02061194
92	5.975284927
93	5.938336456
94	5.900961402
95	5.86867847
96	5.838357916
97	5.801963624
98	5.762082753
99	5.739331905
100	5.699944491
101	5.65941157
102	5.617487634
103	5.585979559
104	5.549203926
105	5.515991039
106	5.487022305
107	5.458584766
108	5.431159635
109	5.411384506
110	5.379663789
111	5.359180705
112	5.326881871
113	5.30272804
114	5.280572769
115	5.254659714
116	5.228212817
117	5.197740915
118	5.174380452
119	5.154828631
120	5.1355662
121	5.116734449
122	5.093521195
123	5.06891765
124	5.044503241
125	5.019874847
126	5.00248587
127	4.974751993
128	4.956744983
129	4.924964243
130	4.904160413
131	4.882114944
132	4.856680257
133	4.838350385
134	4.822687742
135	4.80135008
136	4.782325714
137	4.771433703
138	4.748624509
139	4.729850324
140	4.715805226
141	4.692187256
142	4.67410412
143	4.656158129
144	4.632765836
145	4.608651433
146	4.590119494
147	4.567983562
148	4.553102826
149	4.541161451
150	4.527590446
151	4.511743778
152	4.488943022
153	4.471831168
154	4.452307608
155	4.437128729
156	4.415165
157	4.392917849
158	4.37781549
159	4.361707761
160	4.352853014
161	4.336376396
162	4.326437423
163	4.314833948
164	4.295852643
165	4.285298323
166	4.269209637
167	4.256184452
168	4.24133683
169	4.233137485
170	4.221317912
171	4.204530864
172	4.187840344
173	4.17848263
174	4.166169913
175	4.158061669
176	4.142706799
177	4.127497179
178	4.11819993
179	4.103730402
180	4.094336282
181	4.081132634
182	4.071596435
183	4.056944062
184	4.041507866
185	4.028150106
186	4.01180148
187	4.003908901
188	3.988050621
189	3.983115002
190	3.967732173
191	3.961414582
192	3.953243507
193	3.946760854
194	3.936116541
195	3.932236598
196	3.923863846
197	3.912375406
198	3.910332549
199	3.902040971
200	3.892387526
201	3.879857811
202	3.868584014
203	3.856245559
204	3.852065855
205	3.845038381
206	3.830649911
207	3.828841559
208	3.817932828
209	3.807681027
210	3.803686009
211	3.799902499
212	3.7867182
213	3.781756091
214	3.772686285
215	3.766715834
216	3.762504883
217	3.759256292
218	3.756581302
219	3.753111316
220	3.7452756
221	3.736997437
222	3.733252379
223	3.725859531
224	3.715399171
225	3.705569426
226	3.694940361
227	3.692437154
228	3.689590972
229	3.685463755
230	3.68335992
231	3.679176195
232	3.676633039
233	3.663076269
234	3.660254463
235	3.647128177
236	3.62967961
237	3.62492425
238	3.622718245
239	3.619508943
240	3.617522369
241	3.613911006
242	3.609640613
243	3.607867435
244	3.60539716
245	3.602986411
246	3.600949736
247	3.592283737
248	3.580690128
249	3.575613576
250	3.573382605
251	3.571634188
252	3.56963635
253	3.567350791
254	3.565089721
255	3.558899938
256	3.555413731
257	3.544290544
258	3.54226281
259	3.531109902
260	3.517504941
261	3.509619066
262	3.496006066
263	3.482801613
264	3.480967141
265	3.479271037
266	3.476386239
267	3.469143498
268	3.466385612
269	3.45451092
270	3.452596358
271	3.450813398
272	3.449117482
273	3.447371366
274	3.445664854
275	3.434011023
276	3.431789469
277	3.419269606
278	3.417482332
279	3.402572483
280	3.399974985
281	3.398357462
282	3.386220871
283	3.383785788
284	3.373192021
285	3.360556971
286	3.351541659
287	3.34151048
288	3.328895635
289	3.318094925
290	3.311369021
291	3.301670619
292	3.299952461
293	3.287930486
294	3.273888113
295	3.261806194
296	3.260339624
297	3.25869066
298	3.248099445
299	3.246483626
300	3.245035302
301	3.24347557
302	3.242274428
303	3.232107556
304	3.223166376
305	3.213091852
306	3.20486324
307	3.194525064
308	3.192074659
309	3.183379032
310	3.18196059
311	3.18081119
312	3.179303675
313	3.166022189
314	3.154524953
315	3.147763556
316	3.140142989
317	3.138925224
318	3.137849038
319	3.1273886
320	3.119797666
321	3.113656372
322	3.106767505
323	3.096239114
324	3.085924886
325	3.084599719
326	3.083540763
327	3.081494659
328	3.077918604
329	3.070960088
330	3.056668467
331	3.055090509
332	3.048007001
333	3.046891606
334	3.045911472
335	3.038903056
336	3.035497646
337	3.024617245
338	3.021193267
339	3.020240128
340	3.018692632
341	3.011228337
342	3.009335363
343	3.002296625
344	2.992738761
345	2.984340477
346	2.972213591
347	2.96368967
348	2.950802578
349	2.949374461
350	2.939841331
351	2.933595359
352	2.921446899
353	2.910025752
354	2.900171744
355	2.898558078
356	2.897205537
357	2.896129781
358	2.894914049
359	2.893865694
360	2.89227011
361	2.884202718
362	2.873883652
363	2.870009888
364	2.868468871
365	2.867529717
366	2.856540914
367	2.855097393
368	2.853912869
369	2.852984124
370	2.852026464
371	2.846078044
372	2.845375551
373	2.835846963
374	2.82735749
375	2.819858668
376	2.818527795
377	2.817662843
378	2.812919202
379	2.80259605
380	2.795551541
381	2.785149794
382	2.78157531
383	2.780297156
384	2.774610718
385	2.769498219
386	2.762759919
387	2.754689657
388	2.753506516
389	2.75157354
390	2.745899283
391	2.73609956
392	2.728053972
393	2.724068932
394	2.718249051
395	2.717266117
396	2.716390834
397	2.704648553
398	2.703698455
399	2.702774841
400	2.693558972
401	2.683722168
402	2.676085224
403	2.669199226
404	2.659763647
405	2.659208645
406	2.651177489
407	2.650307146
408	2.649473928
409	2.639377539
410	2.63619718
411	2.627059706
412	2.619305497
413	2.611289098
414	2.603280988
415	2.595547316
416	2.588347108
417	2.58135139
418	2.580607116
419	2.578010942
420	2.577298955
421	2.568618031
422	2.560206312
423	2.559139056
424	2.55838321
425	2.557628368
426	2.552488183
427	2.551692821
428	2.544510034
429	2.538934377
430	2.533317208
431	2.526765178
432	2.521645335
433	2.519241423
434	2.516725464
435	2.513126994
436	2.512285487
437	2.508923637
