iter	Passed	Remaining
0	1	163
1	3	153
2	4	146
3	5	137
4	7	138
5	8	135
6	10	135
7	12	138
8	14	143
9	15	140
10	16	137
11	18	136
12	20	135
13	22	139
14	24	138
15	26	136
16	27	134
17	28	132
18	30	130
19	32	129
20	35	135
21	37	134
22	39	132
23	40	129
24	42	126
25	43	124
26	45	122
27	46	120
28	48	118
29	51	119
30	52	117
31	54	114
32	55	112
33	57	110
34	58	108
35	60	106
36	61	104
37	64	104
38	65	102
39	67	100
40	68	98
41	69	95
42	70	93
43	71	91
44	73	89
45	75	88
46	77	87
47	78	85
48	80	83
49	81	81
50	83	80
51	84	78
52	86	76
53	87	74
54	89	72
55	91	72
56	93	70
57	94	68
58	95	66
59	97	64
60	98	63
61	100	61
62	101	59
63	103	58
64	105	56
65	107	55
66	108	53
67	110	51
68	111	50
69	112	48
70	114	46
71	116	45
72	118	43
73	120	42
74	121	40
75	123	38
76	124	37
77	126	35
78	127	33
79	130	32
80	132	31
81	134	29
82	135	27
83	136	26
84	138	24
85	139	22
86	141	21
87	143	19
88	145	17
89	146	16
90	148	14
91	150	13
92	151	11
93	152	9
94	154	8
95	156	6
96	158	4
97	159	3
98	161	1
99	163	0
