iter	Passed	Remaining
0	4	4652
1	6	3100
2	8	2661
3	9	2398
4	11	2359
5	13	2319
6	15	2207
7	17	2112
8	19	2099
9	20	2036
10	22	1992
11	23	1952
12	25	1951
13	27	1954
14	29	1928
15	30	1905
16	33	1909
17	34	1889
18	36	1870
19	37	1847
20	39	1835
21	41	1840
22	43	1833
23	44	1820
24	46	1801
25	47	1784
26	49	1776
27	50	1759
28	52	1753
29	54	1753
30	56	1757
31	57	1745
32	60	1762
33	61	1757
34	63	1748
35	64	1738
36	66	1730
37	68	1722
38	70	1737
39	71	1727
40	73	1718
41	75	1712
42	76	1706
43	78	1702
44	79	1694
45	81	1687
46	82	1679
47	85	1689
48	86	1682
49	88	1676
50	89	1669
51	91	1663
52	93	1665
53	94	1658
54	96	1654
55	98	1652
56	100	1661
57	102	1657
58	103	1651
59	104	1644
60	106	1638
61	108	1634
62	109	1629
63	111	1624
64	112	1620
65	114	1617
66	115	1612
67	117	1607
68	118	1604
69	120	1600
70	122	1596
71	123	1591
72	125	1587
73	126	1587
74	128	1589
75	130	1584
76	131	1580
77	133	1576
78	134	1571
79	136	1568
80	137	1565
81	139	1561
82	140	1551
83	142	1551
84	143	1547
85	145	1543
86	146	1540
87	148	1537
88	149	1535
89	151	1532
90	153	1530
91	155	1530
92	156	1527
93	158	1523
94	159	1518
95	161	1516
96	162	1515
97	164	1513
98	166	1511
99	167	1507
100	169	1504
101	171	1507
102	172	1504
103	174	1500
104	175	1499
105	177	1496
106	179	1495
107	180	1493
108	182	1492
109	184	1496
110	186	1493
111	188	1490
112	190	1492
113	191	1490
114	193	1491
115	195	1488
116	196	1484
117	198	1484
118	200	1487
119	202	1484
120	203	1481
121	205	1478
122	207	1476
123	209	1480
124	211	1480
125	213	1480
126	214	1475
127	216	1473
128	217	1469
129	219	1466
130	220	1463
131	222	1461
132	223	1459
133	225	1458
134	227	1457
135	229	1455
136	230	1451
137	232	1449
138	233	1446
139	235	1443
140	236	1441
141	237	1436
142	240	1439
143	241	1438
144	243	1436
145	245	1433
146	246	1430
147	248	1428
148	249	1426
149	251	1424
150	252	1421
151	254	1420
152	256	1420
153	258	1417
154	259	1414
155	261	1413
156	262	1410
157	264	1407
158	265	1404
159	267	1402
160	268	1398
161	270	1398
162	271	1396
163	273	1395
164	275	1395
165	277	1393
166	278	1391
167	280	1388
168	282	1387
169	284	1386
170	285	1384
171	287	1382
172	288	1380
173	290	1378
174	292	1376
175	293	1374
176	295	1372
177	296	1371
178	298	1371
179	300	1368
180	301	1366
181	303	1364
182	304	1361
183	306	1359
184	308	1357
185	309	1355
186	311	1353
187	313	1353
188	315	1355
189	317	1352
190	318	1350
191	320	1347
192	321	1346
193	323	1344
194	325	1342
195	327	1341
196	328	1339
197	330	1337
198	331	1334
199	333	1334
200	335	1332
201	337	1331
202	338	1330
203	340	1327
204	342	1327
205	343	1325
206	345	1323
207	346	1321
208	349	1321
209	350	1319
210	352	1317
211	354	1316
212	356	1317
213	358	1315
214	359	1313
215	361	1311
216	362	1308
217	365	1310
218	367	1309
219	368	1307
220	370	1306
221	372	1305
222	374	1304
223	375	1302
224	377	1301
225	379	1299
226	381	1297
227	382	1295
228	384	1295
229	386	1293
230	387	1291
231	389	1289
232	391	1287
233	392	1285
234	394	1283
235	395	1281
236	397	1279
237	399	1278
238	400	1276
239	402	1274
240	404	1272
241	405	1270
242	407	1268
243	408	1266
244	410	1264
245	412	1263
246	413	1261
247	415	1259
248	416	1257
249	418	1256
250	420	1254
251	421	1252
252	423	1250
253	425	1248
254	427	1247
255	428	1246
256	430	1244
257	432	1242
258	433	1240
259	435	1238
260	436	1236
261	438	1234
262	440	1233
263	442	1232
264	443	1230
265	445	1228
266	446	1226
267	448	1224
268	449	1222
269	451	1220
270	452	1218
271	454	1217
272	456	1215
273	458	1214
274	459	1212
275	461	1210
276	462	1208
277	464	1206
278	465	1204
279	467	1202
280	469	1200
281	471	1199
282	472	1198
283	474	1195
284	475	1194
285	477	1192
286	479	1190
287	480	1188
288	482	1186
289	484	1185
290	486	1184
291	487	1181
292	489	1179
293	490	1178
294	492	1176
295	493	1174
296	495	1172
297	497	1171
298	499	1170
299	501	1169
300	502	1167
301	504	1166
302	506	1164
303	507	1162
304	509	1160
305	510	1158
306	512	1156
307	514	1155
308	515	1153
309	517	1151
310	519	1150
311	520	1148
312	522	1146
313	523	1144
314	525	1142
315	527	1140
316	529	1140
317	531	1139
318	532	1137
319	534	1135
320	535	1133
321	537	1132
322	542	1137
323	556	1160
324	559	1162
325	563	1165
326	566	1165
327	568	1164
328	570	1164
329	572	1162
330	574	1160
331	575	1158
332	577	1156
333	579	1154
334	581	1153
335	583	1152
336	585	1151
337	587	1150
338	588	1148
339	590	1146
340	591	1143
341	593	1141
342	594	1139
343	596	1137
344	598	1135
345	599	1133
346	602	1133
347	603	1131
348	605	1129
349	606	1126
350	608	1124
351	609	1122
352	611	1120
353	612	1118
354	614	1116
355	617	1116
356	618	1114
357	619	1111
358	621	1109
359	623	1107
